YR_MO;CALL_DATE;AGENT_ID;AGENT_NAME;TEAM_LEAD_ID;TEAM_LEAD_NAME;CALL_CENTER;CALLS;HANDLE_TIME;CALL_REGEN;CALLS_WITH_OFFER;CALLS_WITH_ACCEPT;CALLS_OFFER_APPLIED;TRANSFERS;AHT_MULTI;CALL_REGEN_MULTI;TRANSFERS_MULTI;APPLIED_PER_CALL_MULTI;BREAKAGE_MULTI
201706;01/06/2017;201700121;Anderson, Albert;201700011;Winnerson, Aceona;Williamburg;34;25710;5;31;22;19;2;26520;5,678;2,788;17,17;6,834
201706;01/06/2017;201700122;Binning, Bart;201700011;Winnerson, Aceona;Williamburg;35;25039;4;34;29;26;2;27300;5,845;2,87;17,675;7,035
201706;01/06/2017;201700123;Centerville, Cece;201700011;Winnerson, Aceona;Williamburg;38;24436;6;36;32;28;3;29640;6,346;3,116;19,19;7,638
201706;01/06/2017;201700124;Davenport, Davina;201700011;Winnerson, Aceona;Williamburg;38;24923;5;37;32;25;2;29640;6,346;3,116;19,19;7,638
201706;01/06/2017;201700125;Edgerton, Ethan;201700011;Winnerson, Aceona;Williamburg;34;24371;4;32;25;22;2;26520;5,678;2,788;17,17;6,834
201706;01/06/2017;201700126;Filipsano, Fiona;201700011;Winnerson, Aceona;Williamburg;33;25378;5;32;28;22;2;25740;5,511;2,706;16,665;6,633
201706;01/06/2017;201700127;Gee, Garry;201700011;Winnerson, Aceona;Williamburg;37;25105;4;34;25;20;3;28860;6,179;3,034;18,685;7,437
201706;01/06/2017;201700128;Harrison, Harold;201700011;Winnerson, Aceona;Williamburg;37;25938;7;33;28;24;2;28860;6,179;3,034;18,685;7,437
201706;01/06/2017;201700138;Sanders, Sammi;201700013;Oferten, Quinton;Williamburg;32;24269;6;27;17;10;4;24960;5,344;2,624;16,16;6,432
201706;01/06/2017;201700139;Thomas, Ted;201700013;Oferten, Quinton;Williamburg;32;24107;9;28;21;9;3;24960;5,344;2,624;16,16;6,432
201706;01/06/2017;201700140;Uvaldon, Ursala;201700013;Oferten, Quinton;Williamburg;30;24842;7;27;18;8;3;23400;5,01;2,46;15,15;6,03
